shipment_id_1,drop_off_point,destination_country,freight_cost,gross_weight,shipment_charges,shipment_mode,shipping_company,shipping_time
014739,1,0,94.1,53.5,0.75,1,3,5.30903
015702,1,0,90.9403,128,0.9,0,1,17.46875
015704,1,0,93.5,305,0.9,0,1,13.6015
015710,1,0,89.791,100,1.05,1,2,5.13125
015725,1,0,85.81,105,0.75,1,3,5.03472
015738,1,0,94.63,112,0.75,1,3,5.17488
015739,1,0,94.79,53.5,0.75,1,3,5.23484
016702,1,0,90.9403,1006,0.9,0,1,7.54421
016703,1,0,92.5,225,0.9,0,1,28.80637
016704,1,0,93.87,275,0.9,0,1,25.02488
016717,1,0,89.2,1466,1.05,1,2,5.04861
016736,1,0,86.95,869,0.9,0,1,33.57222
016739,1,0,94.5,315,1.05,1,2,5.07558
017702,1,0,90.9403,1206,0.9,0,1,7.54606
017703,1,0,92.5,555,0.9,0,1,28.90556
017736,1,0,86.56,500,1.05,1,2,5.27245
017739,1,0,93.52,100,0.75,1,3,5.12882
018702,1,0,90.9403,335,0.9,0,1,27.57731
018703,1,0,92.5,555,1.05,1,2,5.32083
018739,1,0,94.25,355,0.75,1,3,5.31748
019721,1,0,87.4,505,0.9,0,1,19.4169
019736,1,0,86.95,780,0.9,0,1,5.08576
019738,1,0,93.85,1065.54,0.9,0,1,33.20556
019739,1,0,94.2,103.5,1.05,1,2,5.29815
020704,1,0,93.5661,255,0.9,0,1,7.73368
020708,1,0,90.96,1006,0.9,0,1,9.13657
020713,1,0,89.95,250,0.9,0,1,19.6015
020723,1,0,87.67844,235,0.9,0,1,21.37211
020729,1,0,85.65,122,1.05,1,2,5.29838
020736,1,0,86.95,780,0.9,0,1,5.10544
020738,1,0,94.96,115,0.75,1,3,5.39456
020739,1,0,93.8,1000,1.05,1,2,5.08044
021736,1,0,86.95,780,0.9,0,1,25.1434
021738,1,0,94.24,100,0.75,1,3,5.01123
022702,1,0,91.59,237,0.75,1,3,5.39606
022707,1,0,91.87,505,0.75,1,3,5.28218
022712,1,0,90.45,68,0.9,0,1,12.12778
022737,1,0,92.55,100,0.9,0,1,10.71296
022738,1,0,93.59,100,0.9,0,1,29.30822
023712,1,0,90.45,220,0.9,0,1,22.93715
023735,1,0,88.29,290,0.75,1,3,5.24803
023736,1,0,87.88,869,1.05,1,2,5.01377
023739,1,0,94.2,130.89,1.05,1,2,5.1456
024712,1,0,90.85,832.9,0.75,1,3,5.35428
024736,1,0,87.24,120,0.75,1,3,5.31829
025712,1,0,90.29,400,1.05,1,2,5.19479
025723,1,0,87.97,400,0.75,1,3,5.4044
025725,1,0,85.75,305,0.9,0,1,12.3485
025737,1,0,92.55,209,0.9,0,1,31.96435
026712,1,0,90.6,255,0.9,0,1,34.06019
026723,1,0,87.64,292,0.75,1,3,5.25312
026736,1,0,86.66,260,0.9,0,1,19.18981
026737,1,0,92.55,38,0.9,0,1,11.97986
026738,1,0,93.46,100,0.75,1,3,5.03426
027704,1,0,94.15,1006,0.9,0,1,19.09815
027709,1,0,89.71,565,0.75,1,3,5.09317
027712,1,0,90.94,1350,1.05,1,2,5.11725
027723,1,0,87.4,350,1.05,1,2,5.26528
027737,1,0,92.17083,325,0.75,1,3,5.41204
028712,1,0,90.56,1006,1.05,1,2,5.125
028726,1,0,85.7,1506,0.9,0,1,18.15162
028736,1,0,87.23791,355,1.05,1,2,5.17535
028738,1,0,93.65,166.7,1.05,1,2,5.42049
029723,1,0,86.81,230.5,0.9,0,1,24.10463
029726,1,0,85.65,505,0.9,0,1,8.5765
029736,1,0,87.36,355,0.75,1,3,5.136
029737,1,0,92.55,1087,1.05,1,2,5.36354
029738,1,0,93.05,25,0.75,1,3,5.14236
030702,1,0,91.63,806,0.75,1,3,5.36979
030714,1,0,90.22,555,0.75,1,3,5.03461
030736,1,0,87.61,1156,0.75,1,3,5.03264
030737,1,0,92.55,55,0.9,0,1,24.30822
030738,1,0,93.26,214.5,0.9,0,1,10.73588
031702,1,0,91.21,200,0.75,1,3,5.41019
031706,1,0,91.38,265,1.05,1,2,5.25694
031726,1,0,85.96,505,0.75,1,3,5.32604
031736,1,0,87.53,150,1.05,1,2,5.18137
031737,1,0,92.93,55,0.75,1,3,5.09271
031738,1,0,93.26,107.23,0.9,0,1,21.05405
031739,1,0,94.86,1000,0.75,1,3,5.17616
032228,1,0,90.9403,115.21,0.9,0,1,27.59583
032723,1,0,86.89434,24,0.75,1,3,5.17616
032737,1,0,92.67,505,0.75,1,3,5.339
032738,1,0,93.7,530,0.9,0,1,11.51701
032739,1,0,94.95,455,0.75,1,3,5.10613
033727,1,0,85.07,205,1.05,1,2,5.07199
033736,1,0,87.27,900,0.75,1,3,5.27269
033737,1,0,92.44,1600,1.05,1,2,5.15336
033738,1,0,93.56,100,0.75,1,3,5.11262
034723,1,0,86.81,116,0.9,0,1,16.45405
035706,1,0,91.55,405,0.75,1,3,5.23935
035716,1,0,90.39357,146.8,1.05,1,2,5.24317
035723,1,0,87.72,74,0.75,1,3,5.38727
035728,1,0,84.63,755,0.75,1,3,5.33171
035736,1,0,87.05,200,0.75,1,3,5.35463
035737,1,0,92.46,766,0.75,1,3,5.24618
035739,1,0,94.95,219.5,1.05,1,2,5.09294
036723,1,0,87.69,2008,1.05,1,2,5.1934
036737,1,0,92.7,114,0.75,1,3,5.22755
036738,1,0,93.7,385,0.9,0,1,34.57269
037723,1,0,86.4607,200,0.9,0,1,18.38947
037725,1,0,85.85,475,0.9,0,1,8.8412
037726,1,0,85.95,405,0.9,0,1,8.87569
037736,1,0,87.8,305,0.75,1,3,5.22384
037737,1,0,92.95,114,1.05,1,2,5.36829
037738,1,0,93.3,1100,0.75,1,3,5.3662
038702,1,0,90.98,11.11,0.75,1,3,5.36528
038728,1,0,84.77,755,0.75,1,3,5.30532
038736,1,0,86.66,58,0.9,0,1,19.48438
038738,1,0,92.9693,999,1.05,1,2,5.2794
039228,1,0,91.0048,16.24,0.9,0,1,27.91447
039736,1,0,87.97,1106,1.05,1,2,5.02917
039738,1,0,92.8979,540,1.05,1,2,5.30417
040704,1,0,94.89,35,0.75,1,3,5.06007
040736,1,0,87.74,349.4,0.75,1,3,5.39514
040737,1,0,91.87,555,0.75,1,3,5.30567
040738,1,0,93.92,1106,0.75,1,3,5.36736
041737,1,0,91.21,220,0.9,0,1,34.05556
041738,1,0,92.7066,225,0.9,0,1,19.51794
042703,1,0,92.84,1088,1.05,1,2,5.35382
042730,1,0,85.6,215,0.9,0,1,21.12315
042736,1,0,87.19,2008,0.75,1,3,5.31065
042737,1,0,91.41806,220,0.75,1,3,5.15845
042738,1,0,92.6,652.8,0.75,1,3,5.16817
043702,1,0,90.71,505,0.75,1,3,5.04491
043737,1,0,91.65,1306,0.9,0,1,7.74514
044727,1,0,85.43,35,0.75,1,3,5.0625
044736,1,0,87.73,361,0.75,1,3,5.05069
044739,1,0,94.8,2000,0.75,1,3,5.18472
046721,1,0,87.62,180,0.75,1,3,5.05521
046738,1,0,92.85,1500,0.9,0,1,11.06192
047737,1,0,91.36,251.8,0.9,0,1,30.21817
047738,1,0,92.85,193.5,1.05,1,2,5.08692
048735,1,0,88.39,2000,0.75,1,3,5.01192
049706,1,0,91.56773,280,0.75,1,3,5.3191
049720,1,0,87.69,1250,0.75,1,3,5.06713
049738,1,0,92.85,200,0.9,0,1,11.97442
050707,1,0,91.42,831,0.75,1,3,5.03102
050722,1,0,88.79,305,0.75,1,3,5.40266
050728,1,0,83.61,599,0.9,0,1,13.65174
050736,1,0,87.81,405,0.75,1,3,5.21447
050738,1,0,92.56,250,0.9,0,1,22.66007
050739,1,0,94.6626,325,1.05,1,2,5.18854
051728,1,0,84.82,961,0.75,1,3,5.30891
051738,1,0,92.56,200,0.9,0,1,14.22257
051739,1,0,94.9759,855,1.05,1,2,5.16644
052716,1,0,90.67,1506,0.75,1,3,5.10995
052728,1,0,83.79,276,0.75,1,3,5.14792
052736,1,0,87.16,295,1.05,1,2,5.11377
052738,1,0,93.51,105,0.75,1,3,5.17986
053728,1,0,84.73,65,1.05,1,2,5.01817
053738,1,0,92.92,163,0.9,0,1,28.32222
054728,1,0,84.64,242.5,0.75,1,3,5.36539
054738,1,0,92.98,110,0.75,1,3,5.05463
055716,1,0,90.3,1498,0.9,0,1,30.84225
055736,1,0,87.8,121,0.75,1,3,5.2331
055737,1,0,91.8,605,0.9,0,1,5.92593
055738,1,0,92.81,535,0.75,1,3,5.19919
056737,1,0,91.8,170,0.9,0,1,9.32315
056738,1,0,92.93,32.59,1.05,1,2,5.21678
057714,1,0,90.77,135,1.05,1,2,5.03356
057716,1,0,90.3,1058,0.9,0,1,10.86736
057719,1,0,86.81,175,0.9,0,1,30.77998
057736,1,0,86.61,350,0.9,0,1,21.20694
057738,1,0,91.9425,66,0.9,0,1,9.95081
058709,1,0,88.86,214,0.9,0,1,34.81134
058714,1,0,90.39,135,0.75,1,3,5.30336
058716,1,0,89.86,289.4,0.9,0,1,10.87269
058720,1,0,87.65,1404,0.9,0,1,29.5044
058736,1,0,87.75,119.9,0.75,1,3,5.33738
058737,1,0,91.8,1096,0.9,0,1,9.89688
058738,1,0,91.49,28,0.75,1,3,5.32049
059709,1,0,89.74,250,0.75,1,3,5.24398
059711,1,0,89.46,100,0.9,0,1,11.34907
059714,1,0,90.5,1356,0.9,0,1,32.66262
059721,1,0,87.21,950,0.9,0,1,20.42639
059727,1,0,85.05,380,0.75,1,3,5.32986
059737,1,0,91.65,132,0.9,0,1,11.09502
060714,1,0,90.8,748,1.05,1,2,5.31852
060727,1,0,85.5,380,0.75,1,3,5.02234
061727,1,0,85.43,380,1.05,1,2,5.13125
061737,1,0,91.62,165,0.75,1,3,5.11539
061738,1,0,92.6631,445,0.9,0,1,20.2985
062714,1,0,90.5,120,0.9,0,1,13.29745
062721,1,0,87.16,405,0.9,0,1,30.59549
062738,1,0,92.83,355,0.75,1,3,5.05891
063707,1,0,91.65,700,0.75,1,3,5.12998
063711,1,0,89.9,675,1.05,1,2,5.11088
063714,1,0,90.27,100,0.75,1,3,5.21389
063727,1,0,85.47,380,0.75,1,3,5.21007
064729,1,0,85.65,505,0.9,0,1,20.61169
064736,1,0,86.71,500,0.9,0,1,13.83102
064738,1,0,92.67,108.45,1.05,1,2,5.34167
065736,1,0,86.66,289,0.9,0,1,13.92963
065738,1,0,92.65,755,1.05,1,2,5.33634
066736,1,0,87.72,2008,0.75,1,3,5.31852
066737,1,0,92.26,37.6,0.75,1,3,5.21007
066738,1,0,92.65,1006,0.9,0,1,19.1809
067712,1,0,90.25,2008,0.9,0,1,9.71389
067714,1,0,90.5,605,0.9,0,1,34.64178
067736,1,0,86.9,416,1.05,1,2,5.30602
067738,1,0,92.65,1006,0.9,0,1,9.18762
068707,1,0,90.56,221,0.9,0,1,21.85197
068714,1,0,90.11,600,0.9,0,1,14.67616
068717,1,0,89.84,65,0.75,1,3,5.09363
068718,1,0,87.72,1148,0.75,1,3,5.19352
068721,1,0,87.58,605,0.75,1,3,5.00127
068735,1,0,88.62,290,0.75,1,3,5.25822
068736,1,0,86.9,180,0.9,0,1,18.71597
068737,1,0,91.56,33,0.9,0,1,10.56586
068738,1,0,92.34,600,0.75,1,3,5.11076
069718,1,0,87.98,300,0.75,1,3,5.1647
069736,1,0,86.93,605,0.75,1,3,5.09873
069737,1,0,91.72,33,0.75,1,3,5.08148
070703,1,0,92.97,1006,0.75,1,3,5.4147
070713,1,0,89.95,255,1.05,1,2,5.31262
070718,1,0,87.83,575,0.75,1,3,5.39884
070736,1,0,86.51,580,0.9,0,1,8.88889
071708,1,0,90.79,146.3,0.75,1,3,5.40972
071714,1,0,90.92,2008,0.75,1,3,5.17708
071721,1,0,87.66,1723,1.05,1,2,5.20914
071737,1,0,92.58651,331.5,0.75,1,3,5.14028
072718,1,0,87.7903,187,0.9,0,1,8.13738
072736,1,0,86.51,580,0.9,0,1,28.92106
072737,1,0,93,1056,1.05,1,2,5.34792
072738,1,0,92.65,545,0.9,0,1,12.18843
073714,1,0,89.96,400,0.9,0,1,18.4294
073722,1,0,88.72549,687,1.05,1,2,5.22338
073726,1,0,85.66686,1006,0.75,1,3,5.33889
073728,1,0,84.2,1476,0.9,0,1,18.94722
073738,1,0,92.71,684,1.05,1,2,5.02963
074706,1,0,91.84,500,1.05,1,2,5.2015
074728,1,0,84.45,1476,1.05,1,2,5.02211
074736,1,0,86.9,205,1.05,1,2,5.13414
074738,1,0,92.28108,600,0.75,1,3,5.10069
075706,1,0,91.49,450,0.75,1,3,5.31921
075728,1,0,84.44,1476,0.75,1,3,5.00197
075735,1,0,88.48,100,0.75,1,3,5.00312
075737,1,0,92.55,660,0.75,1,3,5.04977
076719,1,0,87.25,1156,0.9,0,1,11.38229
076728,1,0,83.85,1000,0.9,0,1,28.98935
076736,1,0,86.99,405,1.05,1,2,5.18113
077716,1,0,90.3,395,0.9,0,1,22.7787
077728,1,0,83.85,1000,0.9,0,1,9.01771
077736,1,0,86.9,558.4,0.9,0,1,29.43773
077737,1,0,92.65,615,0.75,1,3,5.33843
077738,1,0,92.6,500,0.9,0,1,6.74259
078710,1,0,90.48,255,0.75,1,3,5.22546
078711,1,0,89.9,561.4,0.9,0,1,21.78009
078716,1,0,90.69,340,1.05,1,2,5.15613
078737,1,0,92.54,936,0.75,1,3,5.08414
078738,1,0,91.7,550,0.9,0,1,18.80255
079703,1,0,92.8,1006,0.75,1,3,5.07569
079728,1,0,84.2,1476,0.9,0,1,9.02951
079736,1,0,86.11,200,0.9,0,1,20.0603
080716,1,0,90.43,115.8,0.75,1,3,5.3838
080719,1,0,86.81,400,0.9,0,1,31.66991
080728,1,0,84.94135,183.2,0.75,1,3,5.08495
080736,1,0,86.97,175,0.75,1,3,5.29144
080737,1,0,91.86,505,0.9,0,1,32.13252
080738,1,0,91.88,170,1.05,1,2,5.02315
081716,1,0,89.86,67,0.9,0,1,14.4919
081719,1,0,86.81,160,0.9,0,1,31.69792
081734,1,0,87.88,1006,1.05,1,2,5.06817
081736,1,0,86.99,25,0.75,1,3,5.24387
082710,1,0,90.2,2008,0.9,0,1,19.70243
082719,1,0,87.25,205,0.75,1,3,5.3522
082736,1,0,86.86,500,1.05,1,2,5.03507
083706,1,0,91.79,893,0.75,1,3,5.39225
083710,1,0,90.2,1006,0.9,0,1,19.70845
083716,1,0,90.7158,180,0.9,0,1,8.11354
083719,1,0,87.72,1153,1.05,1,2,5.34468
083721,1,0,87.21,860,1.05,1,2,5.08171
083736,1,0,86.55,500,0.9,0,1,10.31782
083737,1,0,92.87,405,0.75,1,3,5.23426
083738,1,0,91.67,1096.9,0.75,1,3,5.26968
084714,1,0,90.4,285,1.05,1,2,5.23819
084736,1,0,86.97,348.5,0.75,1,3,5.22546
084737,1,0,92.62,1091,1.05,1,2,5.28345
084738,1,0,91.91,255,0.9,0,1,20.47685
084739,1,0,94.5,355,1.05,1,2,5.11007
085707,1,0,91.87,115,0.75,1,3,5.07188
085716,1,0,90.78,60.1,0.75,1,3,5.16505
085718,1,0,87.7,806,0.9,0,1,28.81157
085719,1,0,86.81,116,0.75,1,3,5.37731
085738,1,0,91.95,160,0.9,0,1,10.57454
085739,1,0,94.85,435,1.05,1,2,5.0397
086724,1,0,84.86,200,0.9,0,1,11.79954
086737,1,0,91.8,705,0.9,0,1,29.29583
086738,1,0,91.51,160,0.9,0,1,20.61597
087706,1,0,91.86,224,1.05,1,2,5.09942
087710,1,0,90.8,1006,1.05,1,2,5.2375
087716,1,0,90.8159,100,0.9,0,1,8.61771
087717,1,0,89.38,61.5,1.05,1,2,5.40556
087719,1,0,86.81,100,0.9,0,1,23.67222
087727,1,0,85.58,832,1.05,1,2,5.05903
087728,1,0,84.62,1206,1.05,1,2,5.00833
087730,1,0,85.28,412,1.05,1,2,5.03738
088711,1,0,90.37,99.3,0.75,1,3,5.16076
088719,1,0,87.27,350,0.75,1,3,5.2103
088729,1,0,85.62,185,0.75,1,3,5.40451
088730,1,0,85.6,55,0.75,1,3,5.03438
088735,1,0,88.02,2203,1.05,1,2,5.31157
089705,1,0,93.54,400,0.75,1,3,5.2206
089711,1,0,90.2,1506,0.9,0,1,12.2294
089719,1,0,87.43,180,0.75,1,3,5.41528
089728,1,0,84.2,255,0.9,0,1,19.211
089730,1,0,85.6,473,0.9,0,1,13.28738
089736,1,0,86.89,93,1.05,1,2,5.1169
089738,1,0,91.95,900,1.05,1,2,5.21296
090709,1,0,89.6564,65,0.9,0,1,9.7191
090711,1,0,90.85,140,0.75,1,3,5.25532
090719,1,0,87.2343,180,0.9,0,1,18.33877
090730,1,0,85.6,477,0.9,0,1,13.52014
090738,1,0,91.95,900,1.05,1,2,5.09514
091711,1,0,90.34,349,0.75,1,3,5.02639
091730,1,0,85.6,477,0.9,0,1,33.58171
091736,1,0,86.55,355,0.9,0,1,22.41285
091737,1,0,92.19,900,0.75,1,3,5.03819
091739,1,0,94.99,162.24,0.75,1,3,5.35995
092711,1,0,90.93,1006,1.05,1,2,5.03484
092716,1,0,90.8159,1506,0.9,0,1,8.65949
092736,1,0,86.55,305,0.9,0,1,23.67766
092738,1,0,91.64,656,0.75,1,3,5.33438
093710,1,0,90.2,575,0.9,0,1,19.86725
093711,1,0,89.76,250,0.9,0,1,13.56354
093717,1,0,89.41,235,0.75,1,3,5.11412
093730,1,0,85.79,205,1.05,1,2,5.22569
093736,1,0,86.55,180,0.9,0,1,5.64769
093739,1,0,93.93,110,0.75,1,3,5.28391
094707,1,0,91.6,505,1.05,1,2,5.13067
094711,1,0,89.5634,150,0.9,0,1,27.33102
094719,1,0,87.78,851,0.75,1,3,5.27049
094730,1,0,85.51,605,0.75,1,3,5.18275
094736,1,0,86.74,355,0.75,1,3,5.36586
094738,1,0,91.95,169,0.9,0,1,5.41076
094739,1,0,94.42,500,0.75,1,3,5.26435
095707,1,0,91.45,505,0.9,0,1,17.07951
095711,1,0,90.44,505,1.05,1,2,5.3066
095724,1,0,84.91,700,0.9,0,1,33.22801
095730,1,0,84.96,600,0.9,0,1,18.43333
095739,1,0,94.86,505,1.05,1,2,5.18692
096705,1,0,93.45,1077,0.9,0,1,32.33484
096707,1,0,91.85289,1500,0.75,1,3,5.28403
096718,1,0,87.55,361,1.05,1,2,5.01238
096721,1,0,87.98,400,0.75,1,3,5.0831
096730,1,0,85.8,605,0.9,0,1,18.5044
096734,1,0,87.65,125.5,0.9,0,1,30.07963
096736,1,0,86.83,505,0.75,1,3,5.39792
096737,1,0,92.76,605,0.75,1,3,5.40104
096738,1,0,91.5,555,1.05,1,2,5.02986
097702,1,0,90.97,1006,0.75,1,3,5.27303
097736,1,0,86.48,2008,0.75,1,3,5.25637
097737,1,0,92.66,405,0.9,0,1,22.42604
097738,1,0,91.93,120,0.75,1,3,5.39155
098706,1,0,91.05,1000,0.9,0,1,21.13565
098737,1,0,92.62,355,0.75,1,3,5.28762
099704,1,0,94.98,1132,0.75,1,3,5.01852
099714,1,0,90.68,2000,1.05,1,2,5.33866
099736,1,0,86.5,405,0.9,0,1,9.7625
099737,1,0,92.63,105,0.75,1,3,5.24711
100704,1,0,94.99,800,1.05,1,2,5.41921
100706,1,0,91.76,170,0.75,1,3,5.31748
100737,1,0,91.56,350,0.9,0,1,32.86134
101709,1,0,89.65,225,1.05,1,2,5.22222
101721,1,0,87.73,783,0.75,1,3,5.06493
101737,1,0,92.84,565,0.75,1,3,5.0022
101738,1,0,91.93,450,1.05,1,2,5.33241
102724,1,0,85.3,2000,1.05,1,2,5.311
102736,1,0,86.69,100,1.05,1,2,5.09259
102737,1,0,92.25,658,0.75,1,3,5.0485
103727,1,0,85.83,375,0.75,1,3,5.03044
103736,1,0,86.98,700,0.75,1,3,5.064
103738,1,0,91.7,65,0.9,0,1,20.36354
104703,1,0,92.74,1908,1.05,1,2,5.31551
104718,1,0,87.36,572.35,0.9,0,1,29.3662
104737,1,0,91.3,175,1.05,1,2,5.31898
104739,1,0,94.6,113.5,0.75,1,3,5.12338
105705,1,0,93.45,2008,0.9,0,1,23.14653
105713,1,0,89.56,226,0.9,0,1,11.33391
105725,1,0,85.85,500,0.9,0,1,20.13437
105730,1,0,85.39,105,0.75,1,3,5.02558
105733,1,0,86.77905,355,1.05,1,2,5.23669
105739,1,0,94.5,2008,0.9,0,1,12.4463
106702,1,0,90.7,1006,0.9,0,1,30.61088
106705,1,0,93.08,324,1.05,1,2,5.04583
106720,1,0,88.67,355,1.05,1,2,5.20231
106736,1,0,86.61,236.1,1.05,1,2,5.08264
106739,1,0,94.5,1006,0.9,0,1,22.66782
107705,1,0,93.99,170,0.75,1,3,5.3956
107729,1,0,85.65,146,1.05,1,2,5.29907
107730,1,0,85.35,550,0.9,0,1,18.83333
107736,1,0,86.55,500,0.9,0,1,14.50891
107739,1,0,94.64,1206,0.75,1,3,5.36887
108705,1,0,93.24,753,0.75,1,3,5.30486
108730,1,0,84.91,118,0.9,0,1,28.83588
108736,1,0,86.07,290.33,0.75,1,3,5.24919
108737,1,0,91.3,355,0.75,1,3,5.29132
108739,1,0,93.95,64,1.05,1,2,5.04711
109705,1,0,93.45,1076.1,0.9,0,1,9.06076
109724,1,0,85.99,130,0.75,1,3,5.37361
109736,1,0,86.46,290.33,1.05,1,2,5.33299
109738,1,0,91.9,550,0.75,1,3,5.29248
109739,1,0,93.95,213,0.75,1,3,5.26111
110705,1,0,93.9,115,0.75,1,3,5.30718
110730,1,0,85.63,123,0.75,1,3,5.09954
110736,1,0,86.71,33.4,0.75,1,3,5.08912
110738,1,0,91.31,500,0.9,0,1,31.03993
111724,1,0,85.47,55,0.75,1,3,5.06667
111730,1,0,85.35,550,0.9,0,1,8.85475
111736,1,0,86.71957,200,0.75,1,3,5.0522
111737,1,0,91.6644,806,0.9,0,1,20.61597
111738,1,0,91.93,655,0.75,1,3,5.4125
112705,1,0,93.63,216,0.75,1,3,5.04803
112738,1,0,91.58,175,0.75,1,3,5.33565
113714,1,0,90.48,227,0.75,1,3,5.36516
113721,1,0,87.98424,1207,0.75,1,3,5.0831
113736,1,0,86.55,1406,0.9,0,1,19.03669
113737,1,0,91.6,1800,0.9,0,1,11.04421
114735,1,0,88.44,575,0.9,0,1,31.90197
114736,1,0,86.44,289.73,0.75,1,3,5.40752
114738,1,0,91.9,550,1.05,1,2,5.07257
115702,1,0,90.7,1006,0.9,0,1,20.86146
115706,1,0,90.96,275,0.9,0,1,11.50602
115738,1,0,91.9521,1100,0.9,0,1,27.47141
116735,1,0,88.33,575,0.75,1,3,5.01956
116738,1,0,91.7,164.5,1.05,1,2,5.36701
117735,1,0,88.3373,575,0.75,1,3,5.14931
117736,1,0,86.55,232,1.05,1,2,5.1191
117737,1,0,91.85,220,0.75,1,3,5.34965
118727,1,0,85.51,185,0.75,1,3,5.38032
118735,1,0,88.09,687,1.05,1,2,5.0309
118738,1,0,91.8,2008,0.9,0,1,29.89618
119727,1,0,85.26,185,1.05,1,2,5.17245
119737,1,0,91.8247,300,0.9,0,1,9.12778
120717,1,0,88.71,310,0.9,0,1,33.79433
120727,1,0,85.61,185,0.75,1,3,5.37708
120735,1,0,87.56,229,0.9,0,1,7.05856
120736,1,0,86.91,605,0.75,1,3,5.10382
120737,1,0,91.8247,400,0.9,0,1,19.17049
121717,1,0,89.86,580,1.05,1,2,5.13738
121727,1,0,85.02,655,0.75,1,3,5.04317
121735,1,0,88.58,710,1.05,1,2,5.28611
121737,1,0,91.86,450,0.9,0,1,9.69653
122717,1,0,88.62,95,0.75,1,3,5.15127
122737,1,0,91.86,110,0.9,0,1,9.71933
123730,1,0,85.87,500,0.75,1,3,5.3184
123738,1,0,91.88,1006,0.75,1,3,5.32523
124729,1,0,85.94,297,0.75,1,3,5.09514
124736,1,0,87.6,806,0.9,0,1,32.08843
124738,1,0,91.8,1000,0.9,0,1,20.45718
124739,1,0,94.85,555,0.75,1,3,5.04352
125705,1,0,93.7,1106,0.9,0,1,9.86921
125711,1,0,89.7,562.5,0.9,0,1,19.45625
125722,1,0,88.69,155,0.75,1,3,5.03472
125724,1,0,85.3,65,0.9,0,1,19.84514
125730,1,0,85.15464,500,1.05,1,2,5.29977
125737,1,0,91.8988,220,0.9,0,1,30.28079
126717,1,0,88.24,305,0.75,1,3,5.05544
126723,1,0,86.7,2000,0.9,0,1,29.85509
126736,1,0,87.65,1722,0.75,1,3,5.38194
